INFO [2024-09-09 18:02:08] [MAIN] - Creating clusters_ren__2024_09_09_18_02_08 study...

INFO [2024-09-09 18:02:08] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-09 18:02:08] [MAIN] - Adding nodes...

INFO [2024-09-09 18:02:09] [NODES] - Adding eu-fra node...
INFO [2024-09-09 18:02:09] [MAIN] - Done adding nodes! (run time : 0.99s).

INFO [2024-09-09 18:02:09] [MAIN] - Adding districts...

INFO [2024-09-09 18:02:23] [WARN] - Failed to add nga_gas_capacityscaler generator to af-nga node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nga_gas_olorunsogoii14670 generator to af-nga node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add rwa_was_gisenyi16442 generator to af-rwa node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add rwa_oil_jabana116443 generator to af-rwa node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add rwa_oil_jabana216444 generator to af-rwa node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_gas_eljaili17500 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_bio_melutsugarfac17510 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_bio_capacityscaler generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_bio_whitenilestat17517 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_rahad17514 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_elobeid17501 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_atbara17499 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_nyala17512 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_kuku17509 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_kiloxnec17508 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_portsudan17513 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_kenana17504 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_capacityscaler generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_khartoumnorth17505 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sdn_oil_kiloxdit17507 generator to af-sdn node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sen_bio_capacityscaler generator to af-sen node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sen_oil_saintlouis16543 generator to af-sen node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sen_oil_kaolack16542 generator to af-sen node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add sen_oil_boutoute16540 generator to af-sen node, skipping...
