Node,Continent,Country,Geographical.region,lat,lon,coordinates_source
NA-CAN-ON,North America,Canada,Ontario,61.3765600742,-98.2945373672,ILO
NA-CAN-QC,North America,Canada,Quebec,61.3765600742,-98.2945373672,ILO
NA-CAN-SK,North America,Canada,Saskatchewan,61.3765600742,-98.2945373672,ILO
NA-CRI,North America,Costa Rica,Costa Rica,9.97332729645,-84.193292649,ILO
NA-CUB,North America,Cuba,Cuba,21.62531027,-79.03529044,ILO
NA-DOM,North America,Dominican Republic,Dominican Republic,18.8960527207,-70.4965672754,ILO
NA-GTM,North America,Guatemala,Guatemala,15.6959794459,-90.3597132732,ILO
NA-HND,North America,Honduras,Honduras,14.8207817676,-86.6254207576,ILO
NA-JAM,North America,Jamaica,Jamaica,18.1551953465,-77.3189142295,ILO
NA-MEX,North America,Mexico,Mexico,23.9489236523,-102.53036366,ILO
NA-NIC,North America,Nicaragua,Nicaragua,12.8454113402,-85.0334031776,ILO
NA-PAN,North America,Panama,Panama,8.51447641709,-80.1212207136,ILO
NA-SLV,North America,El Salvador,El Salvador,13.7358746054,-88.871140054,ILO
NA-TTO,North America,Trinidad and Tobago,Trinidad and Tobago,10.4682272722,-61.2588799175,ILO
NA-USA-AK,North America,United States,Alaska,45.6875333395,-112.494333916,ILO
NA-USA-AZ,North America,United States,EIA NEMS Region AZNM,45.6875333395,-112.494333916,ILO
NA-USA-CA,North America,United States,EIA NEMS Region CAMX,45.6875333395,-112.494333916,ILO
NA-USA-ER,North America,United States,EIA NEMS Region ERCT,45.6875333395,-112.494333916,ILO
NA-USA-FR,North America,United States,EIA NEMS Region FRCC,45.6875333395,-112.494333916,ILO
NA-USA-GU,North America,United States,Guam,45.6875333395,-112.494333916,ILO
NA-USA-HA,North America,United States,Hawaii,45.6875333395,-112.494333916,ILO
NA-USA-ME,North America,United States,EIA NEMS Region MROE,45.6875333395,-112.494333916,ILO
NA-USA-MW,North America,United States,EIA NEMS Region MROW,45.6875333395,-112.494333916,ILO
NA-USA-NE,North America,United States,EIA NEMS Region NEWE,45.6875333395,-112.494333916,ILO
NA-USA-NW,North America,United States,EIA NEMS Region NWPP,45.6875333395,-112.494333916,ILO
NA-USA-NY,North America,United States,"EIA NEMS Regions NYCW, NYLI & NYUP",45.6875333395,-112.494333916,ILO
NA-USA-PR,North America,United States,Puerto Rico,45.6875333395,-112.494333916,ILO
NA-USA-RA,North America,United States,EIA NEMS Region RMPA,45.6875333395,-112.494333916,ILO
NA-USA-RE,North America,United States,EIA NEMS Region RFCE,45.6875333395,-112.494333916,ILO
NA-USA-RM,North America,United States,EIA NEMS Region RFCM,45.6875333395,-112.494333916,ILO
NA-USA-RW,North America,United States,EIA NEMS Region RFCW,45.6875333395,-112.494333916,ILO
NA-USA-SA,North America,United States,EIA NEMS Region SRDA,45.6875333395,-112.494333916,ILO
NA-USA-SC,North America,United States,EIA NEMS Region SRCE,45.6875333395,-112.494333916,ILO
NA-USA-SE,North America,United States,EIA NEMS Region SRSE,45.6875333395,-112.494333916,ILO
NA-USA-SN,North America,United States,EIA NEMS Region SPNO,45.6875333395,-112.494333916,ILO
NA-USA-SS,North America,United States,EIA NEMS Region SPSO,45.6875333395,-112.494333916,ILO
NA-USA-SV,North America,United States,EIA NEMS Region SRVC,45.6875333395,-112.494333916,ILO
NA-USA-SW,North America,United States,EIA NEMS Region SRGW,45.6875333395,-112.494333916,ILO
OC-ATA,Oceania,Antarctica,Antarctica,NA,NA,ILO
OC-AUS-NT,Oceania,Australia,Northern Territory,-25.7323831126,134.491117773,ILO
OC-AUS-QL,Oceania,Australia,Queensland,-25.7323831126,134.491117773,ILO
OC-AUS-SA,Oceania,Australia,South Australia,-25.7323831126,134.491117773,ILO
OC-AUS-SW,Oceania,Australia,New South Wales,-25.7323831126,134.491117773,ILO
OC-AUS-TA,Oceania,Australia,Tasmania,-25.7323831126,134.491117773,ILO
OC-AUS-VI,Oceania,Australia,Victoria,-25.7323831126,134.491117773,ILO
OC-AUS-WA,Oceania,Australia,Western Australia,-25.7323831126,134.491117773,ILO
OC-FJI,Oceania,Fiji,Fiji,-17.4466602926,163.732973147,ILO
OC-NZL,Oceania,New Zealand,New Zealand,-41.8294535363,171.462581036,ILO
OC-PNG,Oceania,Papua New Guinea,Papua New Guinea,-6.47028522217,145.231212592,ILO
SA-ARG,South America,Argentina,Argentina,-35.3874753432,-65.1782708231,ILO
SA-BOL,South America,Bolivia,Bolivia,-16.7067160673,-64.6849214117,ILO
SA-BRA-CN,South America,Brazil,Center-Northern Region,-10.7811447641,-53.0925364784,ILO
SA-BRA-CW,South America,Brazil,Center-Western Region,-10.7811447641,-53.0925364784,ILO
SA-BRA-J1,South America,Brazil,Transmission Junction J1,-10.7811447641,-53.0925364784,ILO
SA-BRA-J2,South America,Brazil,Transmission Junction J2,-10.7811447641,-53.0925364784,ILO
SA-BRA-J3,South America,Brazil,Transmission Junction J3,-10.7811447641,-53.0925364784,ILO
SA-BRA-NE,South America,Brazil,North-Eastern Region,-10.7811447641,-53.0925364784,ILO
SA-BRA-NW,South America,Brazil,North-Western Region,-10.7811447641,-53.0925364784,ILO
SA-BRA-SE,South America,Brazil,South-Eastern Region,-10.7811447641,-53.0925364784,ILO
SA-BRA-SO,South America,Brazil,Southern Region,-10.7811447641,-53.0925364784,ILO
SA-BRA-WE,South America,Brazil,Western Region,-10.7811447641,-53.0925364784,ILO
SA-CHL,South America,Chile,Chile,-37.7346256717,-71.3627814168,ILO
SA-COL,South America,Colombia,Colombia,3.90962199445,-73.0836676571,ILO
SA-ECU,South America,Ecuador,Ecuador,-1.42637018649,-78.7712502025,ILO
SA-GUF,South America,French Guiana,French Guiana,NA,NA,ILO
SA-GUY,South America,Guyana,Guyana,4.79385162798,-58.9801364944,ILO
SA-PER,South America,Peru,Peru,-9.15437177966,-74.3781377726,ILO
SA-PRY,South America,Paraguay,Paraguay,-23.2273143012,-58.3983991485,ILO
SA-URY,South America,Uruguay,Uruguay,-32.7983956504,-56.0171416599,ILO
SA-VEN,South America,Venezuela,Venezuela,NA,NA,ILO
