Node;Continent;Country;Geographical region;node_source;lat;lon;coordinates_source
NA-SLV;North America;El Salvador;El Salvador;Brinkerink & Deane 2015;13.7358746054;-88.871140054;ILO
NA-TTO;North America;Trinidad and Tobago;Trinidad and Tobago;Brinkerink & Deane 2015;10.4682272722;-61.2588799175;ILO
NA-USA-AK;North America;United States;Alaska;Brinkerink & Deane 2015;64.4459613;-149.680909;OSM (Nominatim)
NA-USA-AZ;North America;United States;EIA NEMS Region AZNM;Brinkerink & Deane 2015;34.395342;-111.763275;"OSM ""Arizona"""
NA-USA-CA;North America;United States;EIA NEMS Region CAMX;Brinkerink & Deane 2015;36.7014631;-118.755997;"OSM ""California"""
NA-USA-ER;North America;United States;EIA NEMS Region ERCT;Brinkerink & Deane 2015;31.2638905;-98.5456116;"OSM ""Texas"""
NA-USA-FR;North America;United States;EIA NEMS Region FRCC;Brinkerink & Deane 2015;27.7567667;-81.4639835;"OSM ""Florida"""
NA-USA-GU;North America;United States;Guam;Brinkerink & Deane 2015;13.45011745;144.757708776583;OSM (Nominatim)
NA-USA-HA;North America;United States;Hawaii;Brinkerink & Deane 2015;19.5938015;-155.428370097169;OSM (Nominatim)
NA-USA-ME;North America;United States;EIA NEMS Region MROE;Brinkerink & Deane 2015;44.4308975;-89.6884637;"OSM ""Wisconsin"""
NA-USA-MW;North America;United States;EIA NEMS Region MROW;Brinkerink & Deane 2015;47.6201461;-100.540737;"OSM ""North Dakota"""
NA-USA-NE;North America;United States;EIA NEMS Region NEWE;Brinkerink & Deane 2015;43.4849133;-71.6553992;"OSM ""New Hampshire"""
NA-USA-NW;North America;United States;EIA NEMS Region NWPP;Brinkerink & Deane 2015;43.6447642;-114.015407;"OSM ""Idaho"""
NA-USA-NY;North America;United States;EIA NEMS Regions NYCW, NYLI & NYUP;Brinkerink & Deane 2015;43.1561681;-75.8449946;"OSM ""New York State"""
NA-USA-PR;North America;United States;Puerto Rico;Brinkerink & Deane 2015;18.2247706;-66.4858295;OSM (Nominatim)
NA-USA-RA;North America;United States;EIA NEMS Region RMPA;Brinkerink & Deane 2015;38.7251776;-105.607716;"OSM ""Colorado"""
NA-USA-RE;North America;United States;EIA NEMS Region RFCE;Brinkerink & Deane 2015;40.9699889;-77.7278831;"OSM ""Pennsylvania"""
