ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_ENERGIEZENTRUM11092 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_ERWEITERUNGENE11099 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_EVCGLOBALFOU11064 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_FRANKEN111114 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_FSKARTON11105 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GEMEINSCHAFTSKR11138 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GERSTEINWERK11141 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GHD11122 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GKL11124 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GTKWDARMSTADT11128 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUD11168 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDANLAGE11177 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDANLAGEDREW11129 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDANLAGERS11178 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDANLAGEWVK11169 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDBAUNATALV11170 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDBITTERFELD11171 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDHKWNEUBRAN11179 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDIKWSTAFU11180 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDKRAFTWERK11181 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDKRAFTWERKH11172 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDLEUNA11173 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDMARIENEHE11174 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDSCHWARZHEID11175 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_GUDTIEFSTACK11176 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_HATTORF11252 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_HBB11188 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_HEIZKRAFTWERK111258 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_HEIZKRAFTWERK211259 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_HEIZKRAFTWERK411261 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_HEIZKRAFTWERK511262 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_HEIZKRAFTWERKA11263 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_HEIZKRAFTWERKB11264 generator to EU-DEU node, skipping...
