INFO [2024-08-14 16:33:39] [NODES] - Adding NA-USA-ME node...
INFO [2024-08-14 16:33:40] [NODES] - Adding NA-USA-MW node...
INFO [2024-08-14 16:33:41] [NODES] - Adding NA-USA-NE node...
INFO [2024-08-14 16:33:43] [NODES] - Adding NA-USA-NW node...
INFO [2024-08-14 16:33:44] [NODES] - Adding NA-USA-NY node...
INFO [2024-08-14 16:33:45] [NODES] - Adding NA-USA-PR node...
INFO [2024-08-14 16:33:47] [NODES] - Adding NA-USA-RA node...
INFO [2024-08-14 16:33:48] [NODES] - Adding NA-USA-RE node...
INFO [2024-08-14 16:33:50] [NODES] - Adding NA-USA-RM node...
INFO [2024-08-14 16:33:51] [NODES] - Adding NA-USA-RW node...
INFO [2024-08-14 16:33:53] [NODES] - Adding NA-USA-SA node...
INFO [2024-08-14 16:33:54] [NODES] - Adding NA-USA-SC node...
INFO [2024-08-14 16:33:56] [NODES] - Adding NA-USA-SE node...
INFO [2024-08-14 16:33:57] [NODES] - Adding NA-USA-SN node...
INFO [2024-08-14 16:33:59] [NODES] - Adding NA-USA-SS node...
INFO [2024-08-14 16:34:01] [NODES] - Adding NA-USA-SV node...
INFO [2024-08-14 16:34:02] [NODES] - Adding NA-USA-SW node...
INFO [2024-08-14 16:34:04] [NODES] - Adding SA-ARG node...
INFO [2024-08-14 16:34:09] [NODES] - Adding SA-BOL node...
INFO [2024-08-14 16:34:11] [NODES] - Adding SA-BRA-CN node...
INFO [2024-08-14 16:34:12] [NODES] - Adding SA-BRA-CW node...
INFO [2024-08-14 16:34:14] [NODES] - Adding SA-BRA-J1 node...
INFO [2024-08-14 16:34:15] [NODES] - Adding SA-BRA-J2 node...
INFO [2024-08-14 16:34:17] [NODES] - Adding SA-BRA-J3 node...
INFO [2024-08-14 16:34:18] [NODES] - Adding SA-BRA-NE node...
INFO [2024-08-14 16:34:20] [NODES] - Adding SA-BRA-NW node...
INFO [2024-08-14 16:34:22] [NODES] - Adding SA-BRA-SE node...
INFO [2024-08-14 16:34:23] [NODES] - Adding SA-BRA-SO node...
INFO [2024-08-14 16:34:25] [NODES] - Adding SA-BRA-WE node...
INFO [2024-08-14 16:34:27] [NODES] - Adding SA-CHL node...
INFO [2024-08-14 16:34:28] [NODES] - Adding SA-COL node...
INFO [2024-08-14 16:34:30] [NODES] - Adding SA-ECU node...
INFO [2024-08-14 16:34:32] [NODES] - Adding SA-GUF node...
INFO [2024-08-14 16:34:34] [NODES] - Adding SA-GUY node...
INFO [2024-08-14 16:34:35] [NODES] - Adding SA-PER node...
INFO [2024-08-14 16:34:37] [NODES] - Adding SA-PRY node...
INFO [2024-08-14 16:34:39] [NODES] - Adding SA-URY node...
INFO [2024-08-14 16:34:40] [NODES] - Adding SA-VEN node...
INFO [2024-08-14 16:34:42] [MAIN] - Done adding nodes! (run time : 277.16s).

INFO [2024-08-14 16:34:42] [MAIN] - Adding load data...

INFO [2024-08-14 16:34:43] [LOAD] - Adding AF-AGO load data...
INFO [2024-08-14 16:34:45] [LOAD] - Adding AF-BDI load data...
INFO [2024-08-14 16:34:46] [LOAD] - Adding AF-BEN load data...
INFO [2024-08-14 16:34:48] [LOAD] - Adding AF-BFA load data...
INFO [2024-08-14 16:34:49] [LOAD] - Adding AF-BWA load data...
INFO [2024-08-14 16:34:50] [LOAD] - Adding AF-CAF load data...
INFO [2024-08-14 16:34:52] [LOAD] - Adding AF-CIV load data...
INFO [2024-08-14 16:34:53] [LOAD] - Adding AF-CMR load data...
INFO [2024-08-14 16:34:54] [LOAD] - Adding AF-COD load data...
INFO [2024-08-14 16:34:56] [LOAD] - Adding AF-COG load data...
INFO [2024-08-14 16:34:57] [LOAD] - Adding AF-CPV load data...
INFO [2024-08-14 16:34:59] [LOAD] - Adding AF-DJI load data...
INFO [2024-08-14 16:35:00] [LOAD] - Adding AF-DZA load data...
INFO [2024-08-14 16:35:02] [LOAD] - Adding AF-EGY load data...
INFO [2024-08-14 16:35:03] [LOAD] - Adding AF-ERI load data...
INFO [2024-08-14 16:35:05] [LOAD] - Adding AF-ESH load data...
INFO [2024-08-14 16:35:07] [LOAD] - Adding AF-ETH load data...
INFO [2024-08-14 16:35:08] [LOAD] - Adding AF-GAB load data...
INFO [2024-08-14 16:35:10] [LOAD] - Adding AF-GHA load data...
INFO [2024-08-14 16:35:12] [LOAD] - Adding AF-GIN load data...
INFO [2024-08-14 16:35:13] [LOAD] - Adding AF-GMB load data...
INFO [2024-08-14 16:35:15] [LOAD] - Adding AF-GNB load data...
INFO [2024-08-14 16:35:16] [LOAD] - Adding AF-GNQ load data...
INFO [2024-08-14 16:35:18] [LOAD] - Adding AF-KEN load data...
